; 女
;ixi 媫
;jag 娱
;jal 嬇
;jbk 𥙦
;jc 𡝚
;jcs 𤥏
;jcu 𩣉
;jd 姻
;jdi 𡟏
;jdk 𡜼
;jdt 𡟯
;jdx 𡛸
;jej 婟
;jf 桇
;ji 𧊟
;ji 𡟎
;ji 妕
;ji 娖
;jit 𡠛
;jj 㛎
;jje 嬋
;jjf 嬠
;jjj 𡄲
;jjm 孍
;jjp 𡣏
;jjr 㗠
;jjr 㖲
;jld 𡛱
;jli 帤
;jll 𡤓
;jln 𡤀
;jlo 㜏
;jlo 㛣
;jlo 娲
;jmc 𤯥
;jmd 挐
;jmh 𣭠
;jni 𨾵
;jnn 𩴿
;jo 𡛰
;jol 媼
;joq 𡣃
;jp 𨦔
;jq 娟
;jr 𩶯
;jrd 㚾
;jrz 鴽
;js 𧧏
;jsr 䘫
;jtz 恕
;juf 𥹡
;juo 𤈟
;jvv 如
;jxu 𡠮
;jy 𨚴
;jyi 㛕
;jz 絮
;jzg 娯
;jzg 娛
;jzg 娛
;jzl 𡟤
;ka 妲
;kab 娨
;kai 媞
;kan 𡞑
;kao 婸
;kaz 娉
;kb 娌
;kc 婔
;kcx 𡡔
;kd 𠚰
;keb 𡠚
;keo 𡠲
;kf 婐
;ki 㚼
;kia 妯
;kic 妽
;kih 㛱
;kiq 媦
;kit 媤
;kiy 娚
;kiz 嫘
;kj; 𡡎
;kj; 㜢
;kk 娼
;kkg 𡢿
;kkk 𡡺
;kkl 㜼
;kkz 𡤯
;kl 媢
;klj 𡞀
;klk 媪
;klm 𡡹
;klx 嫚
;kly 𡢚
;klz 媀
;kmc 𡟙
;kml 𡞞
;knh 𡣯
;kog 姯
;kom 妙
;koq 娋
;kq 𡝭
;kro 㛫
;krr 婫
;ksk 𡡡
;ksr 𡣖
;ksu 𡟄
;kug 𡣘
;kur 𡤩
;kuu 𡡐
;kvk 㛥
;kwb 𡠠
;kwf 𡡢
;kwk 㜭
;kwl 𡤭
;kwl 嫦
;kxi 𡠕
;ky; 嫐
;kyy 𡣡
;kzm 𡜄
;lam 媺
;lar 嬛
;lau 㜐
;lbj 婤
;lbr 𡣱
;lbu 嬕
;lc 姐
;ld 姛
;ldb 㚩
;ldb 𡛾
;ldb 姌
;lde 𡜜
;lde 姍
;ldg 姎
;ldo 妠
;leo 婰
;lga 婩
;lgg 𡣬
;lgu 㛶
;lig 嬽
;liu 𡤗
;lj 媧
;ljm 𡠾
;ljw 𡢤
;lka 𥁅
;lkb 𡣈
;lkg 𡢊
;lkl 㜥
