b 地
fj 西
fv 雨
ga 石
gd 大
gg 厂
gh 辰
gi 不
gl 而
gm 龙
go 页
gr 尤
ha 臣
hd 七
he 车
hi 牙
hm 戈
ia 蟲
id 卜
ih 虎
ii 止
ik 旧
io 齿
ja 口
jd 因
ji 足
jo 只
ka 日
kb 里
kc 非
kf 果
ki 田
ko 小
kq 明
ku 业
kv 水
la 目
lc 且
ld 同
li 巾
lk 四
ll 山
lr 见
lw 骨
mb 牛
mc 生
md 手
me 千
mf 禾
mh 毛
my 氣
nc 身
nd 川
nj 鬼
nk 白
nl 自
nx 片
oa 八
od 人
oi 行
ox 食
pa 金
pd 斤
pv 爪
qd 几
qy 九
ra 魚
rd 儿
rh 氏
ro 欠
rs 夕
ry 包
rz 鳥
sa 言
sk 永
so 文
sy 方
ta 病
tl 门
ub 半
uo 火
wa 之
wd 定
wo 穴
wz 心
xa 马
xd 門
xi 皮
xs 又
ya 子
yd 刀
yi 也
yt 习
yy 己
zm 女
zy 母
cc 鬥
ds 寸
eb 甘
fd 酉
fk 車
fb 甫
gq; 豕
h; 至
io 齒
pya 舟
ps 瓜
rr 比
su 立
sh 亡
uf 米
zya 好
wtaa 衤
pvw 受
se 辛
kuu 業
n; 個
xm; 屍
oaj 合
zz 出
qmaa 犭
nb 與
z; 樂
kj 數
edl 直
cx 取
tr 次
qoj 脫
m; 無
meb 動
koj 當
mm; 種
wz; 實
skw 意
bz; 云
iir 些
uak 並
wlj 還
mbr 物
trl 資
hmj 感
ffb 標
pql 盤
osw 念
xm 屍
lwk 體
ej 難
ejr 克
elu 南
wzf 案
bko 未
yfkv 陳
meu 無
bxj 吾
fq 繫
dpsv 誓
me; 午
klm 敝
nk; 但是
vxg 決
er 苟
oob 坐
zma 毋
