;; 奻
;a 妍
;he 嫟
;hj 嫗
;hm 嫕
;hv 姬
;id 媜
;ik 婌
;im 嫭
;ja 嬇
;je 婟
;jj 嬋
;jl 帤
;jm 挐
;jo 媼
;jr 鴽
;jv 如
;ki 嫘
;ko 妙
;kw 嫦
;la 媺
;lb 婤
;lg 婩
;li 嬽
;ln 孈
;mb 姝
;md 娥
;mh 奼
;mj 嬌
;mm 姩
;mz 姊
;nb 嫂
;ni 嫶
;nk 媓
;nl 媳
;nn 孇
;no 媲
;ns 嬓
;od 姾
;oh 孅
;on 妎
;os 妗
;oy 妢
;oz 妐
;pa 媛
;pf 嬏
;pj 媕
;pq 媮
;pv 婬
;pw 嬡
;qa 姵
;rg 姽
;rh 婚
;rj 娩
;rp 嬼
;rs 嬝
;ry 妁
;rz 媰
;sj 孃
;sk 嫜
;su 嫡
;sv 娮
;sw 婷
;sz 妶
;te 嫬
;tg 嬚
;tx 嫞
;tz 嬤
;ua 姘
;uc 媄
;uo 婒
;uq 媊
;uu 嫸
;uy 媯
;uz 嬨
;wa 嬪
;wb 媗
;wk 嫇
;wl 媥
;wo 嫆
;wp 嬸
;wr 婉
;xa 嬁
;xb 婽
;xi 婿
;xk 孎
;xl 帑
;xu 嬧
;xw 婦
;yb 娜
;yd 妱
;yg 嫷
;ys 娹
;yt 嫋
;za 媸
;zs 始
aba 麉
abg 頇
abk 刊
abr 鳱
abu 覝
adl 盂
aen 雃
aer 鳽
aeu 烎
afv 末
aig 頂
aiu 鄢
aiz 丏
aja 哥
ajj 歌
ajk 副
akk 鄑
ako 更
aks 裂
ald 再
all 麗
alm 鬺
alo 兩
alt 酈
aly 翮
ana 皕
ang 奡
aol 爾
aoo 璽
arb 殪
arc 殭
ard 殏
are 殖
arg 殗
arh 殘
arj 殟
arl 殂
arm 殊
arn 殠
aro 殲
arp 殮
arw 殥
arx 肂
ary 歿
arz 殆
aue 豉
aun 豍
auw 豌
awg 橐
awj 囊
awr 櫜
awt 憂
awz 蟗
axb 疌
azm 攷
bai 坷
bak 埂
bbg 顤
bbi 卦
bbk 刲
bbo 堎
bbq 熱
bbt 恚
bbu 燅
bbv 圭
bbx 壔
bci 埥
bco 埲
bdn 幫
bdr 元
bdz 互
bec 堪
bee 墳
bej 墐
bek 塻
bel 填
bem 墘
beo 塨
bep 塔
