#gee 奔
gek 厝
ges 硭
gfd 磚
ggu 燹
ghl 砸
#ghy 砌
#gib 在
#gij 砧
#giy 存
gjk 面
#gkb 厘
gkm 砂
gkq 硝
gkr 碣
gky 厚
gkz 奄
glb 甭
gmi 砟
gmk 硃
#gmy 矻
#gnd 奪
gne 碑
#gnk 原
gnn 雁
gnu 礁
gon 尬
goo 夾
#gqy 郁
grl 确
#grs 砥
gsk 砯
#gub 磋
guk 碰
gul 盔
gwb 硿
gwn 確
#gxk 碌
gzn 雄
ha; 威
haj 咸
hbg 頸
hbl 貳
#hbw 逕
#hby 勁
hcm 臻
#hcy 劻
hhl 盞
hja 或
hml 監
hpf 椠
hvn 匯
#hxl 賢
hyl 盛
hyu 熙
hzg 頓
hzh 臧
hzy 邨
#iai 卡
iaj 蚵
iat 忐
#ibo 蚨
icq 蜻
iex 歧
ifg 蠕
ifp 蜥
ift 蟪
igk 劇
igw 遽
iir 齜
ijj 蛔
ijz 乩
ik; 螻
#ikb 螳
ike 卓
#ikf 桌
ikg 頻
#ikk 蛐
#ikl 盧
ikq 膚
ikr 歔
ikt 慮
iky 虜
ikz 螺
#ilo 蚋
#imh 蛾
#imi 蚱
imj 蜘
imk 蛛
#imy 蜓
inc 蝗
int 螅
iom 蜍
#iow 齡
#ioz 蚣
ipj 蛤
ipk 蟠
ipt 蟋
#ipy 蜉
irb 些
irc 蜂
irf 柴
irg 砦
irj 齣
irl 貲
irn 雌
irq 處
#irs 訾
#irz 紫
#isy 蝣
ite 蚪
iuy 蜷
iwr 蛇
ixh 齷
#iyi 蚓
iyl 蜢
j;x 呶
#jae 趼
jaj 呵
jau 呯
#jbo 趺
jbr 咾
jbt 噁
jbu 圉
jby 嘟
jch 戢
jcl 蹟
jcz 嗉
jdn 啪
#jds 啦
#jeb 躇
#jej 固
jek 喵
jeo 哄
jep 嘶
jex 吱
#jfb 嘌
#jfd 團
jfg 嚅
jga 呸
jgq 囿
jgs 吠
jgy 咦
jhh 踐
jhl 咂
#jhx 距
jhz 囤
#jig 噱
#jik 噓
jil 盅
jin 雖
#jiq 啃
jit 忠
jjl 圓
jjq 咒
jjt 嗯
jjw 迴
jk; 嘍
#jkf 踝
jkh 喂
#jkk 踏
jkl 嗩
jkm 吵
jkq 哨
jkr 喝
#jku 噗
jlb 嚜
jlg 喘
#jlo 吶
#jly 勛
#jmh 哦
#jmi 咋
jmj 踟
jmk 跦
#jmo 跌
jmr 跣
jmu 呼
#jmy 吃
#jnd 咐
#jne 啤
#jnx 嗖
jom 啥
#jow 囹
joy 吩
jpf 踩
#jpj 哈
jpn 蹈
jqf 跺
jqr 鵑
jrj 路
jrm 啕
jrn 啗
#jro 吻
#jrr 哆
#jrs 趵
jrt 咚
#jsk 喑
jsm 嗾
jsq 吭
jsx 踉
#jub 蹉
juk 踫
juu 啖
juy 圈
jvr 跳
jwr 跎
jxh 喔
jxn 嘯
jxr 呢
jxs 呎
jxy 唧
jyj 咖
jyk 別
#jyz 吼
jzg 吳
jzj 跆
jzm 唉
jzr 吮
#jzz 咄
k;m 數
kag 昊
#kai 是
kan 畀
#kbb 畦
#kbd 時
kbk 晅
kbx 野
kcq 晴
kcx 最
keb 畢
keo 異
kfg 顆
kfp 晰
kgs 畎
kkg 農
#kkk 淼
kkl 黹
kkr 暍
klb 曙
klg 映
klj 尚
klm 敝
klx 曼
kly 勗
klz 禺
kmi 昨
#kml 省
#kmy 劣
kmz 晦
#knj 晌
kon 界
kpx 畈
kqk 削
kql 盟
kqw 逍
krb 昀
krj 略
#krk 嘗
#kro 易
#krr 歇
kry 昂
#ksk 暗
ksr 裳
kud 對
kvr 晁
#kwf 暈
kxr 昵
kyj 昭
kyy 翡
#lbb 罣
lbd 峙
lbj 周
lbr 崁
lbu 睪
#lbz 甩
lcq 睛
ldm 財
lec 羈
#lej 骷
lek 刪
lel 置
leo 典
ler 嵌
lex 岐
#lfb 瞟
#lfd 賻
lfp 嶄
lga 岸
lgg 顓
#lgl 盎
#lgq 賄
#lgr 鴦
lgs 默
lgu 炭
lhg 賊
lhh 賤
lhz 盹
lij 點
lil 幀
#ljf 睏
#ljw 迥
lk; 髏
