𦆁|𦝠 糸
𨠾|V扌 戈 酉
鰔|魚 丿 戈 一 口
𢘘|忄 弔 丿
䪛|韋 釆 田
𩡻|馬 丿 大
漞|氵 爫 目 儿
鎡|金 䒑 幺 幺
𤝚|犭 申
𨆇|𧾷 門 甲
㸨|牜 丩
披|扌 皮
𧤳|角 Z妻X 女
蜮|虫 戈 口 一
𤚉|耳 又 牛
𠤲|匸 屯
𢶵|扌 V尾 屮 凵
𩼬|魚 艹 甫 寸
𤘚|牜 弋
嘸|口 Z無X 灬
窻|穴 囪 心
鼾|鼻 干
𢅂|巾 𢏚 口
䗅|虫 長
𩁠|日 共 氺 隹
湈|氵 甘 木
鋋|金 廴 丿 止
𨒶|辶 色
𤮶|Z燮X 火 瓦
𥑊|石 尸 又
㥒|忄 爫 木
巕|山 艹 丿 㠯 辛 女
𩶏|魚 瓦
𨘃|辶 疒 宀 㠯
虘|虍 且
𠡜|𠫓 儿 力
𢳟|扌 辶 マ 用
𥊑|目 曰 罒 又
兢|十 口 儿 十 口 儿
痥|疒 八 口 儿
𣫧|艹 厂 禾 禾 止 𠘧 又
鹨|羽 人 彡 鸟
𢁬|巾 爪
䓯|艹 Z青X 毋
楲|木 丿 戈 一 女
践|𧾷 戋
𩱨|弓 弓 鬲 辰 寸
𡟹|女 至 夂
𨢾|酉 而 而
𩀤|堇 隹
㡼|广 曳
峿|山 五 口
昃|日 厂 人
膂|方 人 𧘇 ⺼
𠮆|又 又 貝 攵
𤊦|火 方 攵
𨏭|車 門 束 丷
𤨖|王 戶 邑
𣄍|方 日 V正
傌|亻 馬
縓|糹 厂 白 小
馒|饣 曰 罒 又
𤛯|牜 罒 勹 虫
𠀗|龷 丿
𢎖|目 目 隹 弋
𥉅|目 鬲
䤝|金 卬
梜|木 大 人 人
𧏄|子 扌 斤 虫
𦼌|丿 十 艹 禺
阣|阝 𠂉 乙
𩽇|魚 V頁 心 夊
㮦|木 十 冖 糸
愭|忄 老 日
肬|⺼ 尢 丶
𦭲|艹 弓 弓
𣀷|丽 鹿 攴
𥎶|矢 目
𨿵|卑 隹
礽|礻 乃
颼|風 𦥑 丨 又
𠍁|亻 𠂉 母 攵
𢋀|广 止 匕 言
𣫊|士 𠃜 𠘧 又 十 口
𩉑|面 麻 手
𥋷|目 艹 氵 夂 口
䡇|車 二 儿
毆|匸 口 口 口 𠘧 又
䙍|衤 飛
配|酉 己
𧾣|走 Z奐X 目 攵
𦟌|⺼ 展
𡭑|彳 一 一 亅 巛 一 自 寸
㫐|日 匕
𨍏|車 P庶X 又
恗|忄 大 一 丂
菖|艹 日 曰
𣚀|木 止 匕 角
𣲥|氵 丹
𠗚|冫 亠 人 人 十
𩴤|鬼 大 丷 日 小
𣍡|丌 月
勠|羽 人 彡 力
𧝺|衣 木 木 矛
硧|石 マ 用
鯦|魚 夊 卜 口
𩯽|镸 彡 束 𠂊 貝
𠉫|亻 彳 丶 王
𡷪|山 山 一 大
𣖵|木 广 土 人 人
䭱|禾 日 㡀
櫰|木 衣 罒 氺
𧓲|虫 𦍌 食
遷|辶 襾 大 㔾
𣗺|厶 口 木 十 口
𦯔|艹 丷 弔 丿
茀|艹 弗
䀂|宀 女 皿
撅|扌 厂 䒑 屮 欠
𠔄|丷 匸
𥓖|石 日 木
𦐃|𠃌 V扌 羽
鬐|镸 彡 老 日
堒|土 日 匕 匕
粕|米 白
䆗|穴 口 丩
𩇘|土 厶 青
㵛|氵 𦍌 䒑 口
𤚄|牜 丑 丑
𨊱|車 于
瀢|氵 辶 中 一 貝
钥|钅 月
㔤|宀 釆 田 力
妧|女 二 儿
𦌰|罒 糹 大 一 亅 口
𡺩|山 冎 口
𧹝|赤 夂 ⺀
𤞳|犭 氏 口
蠲|䒑 八 皿 罒 勹 虫
䴴|麥 卜 口
熷|火 丷 囗 小 曰
𡈶|囗 人 囗 人 囗 人 囗 人
㚹|女 𠂎 卩
𥣞|禾 羽 隹
𨾊|工 隹
敄|矛 攵
觇|卜 口 见
𢩆|戶 艮
仉|亻 几
𡏋|氵 甫 土
𥊌|目 巛 果 刂
𩺹|魚 甫 方
絔|糹 一 白
𪇗|士 冂 一 𠘧 又 木 鳥
䉖|𥫗 車 人 一 マ
曙|日 罒 耂 日
𠝘|夂 田 刂
𢯛|扌 氵 立
𣑳|木 耒
𥎻|舟 矢
镤|钅 业 䒑 夫
