𦆁|𦝠 糸
晍|日 冂 一 口
胎|⺼ 厶 口
𣵹|氵 工 コ 土
䯔|骨 宀 乇
靗|青 光
瓖|王 亠 口 口 𠀎 𧘇
𡵛|山 父
幝|巾 單
𪗠|齒 戈
𧑹|虫 䒑 业 日
𥿺|糹 亠 𠃊 女
𢏤|弓 厶 儿 夊
轧|车 乚
泦|氵 尸 九
㙭|土 厂 䒑 屮 欠
獯|犭 熏
𩋼|革 𦍌 大
鷰|Z燕X 鳥
𡯴|尢 卜 日 十
䓶|艹 束 刂
𪁹|鳥 非
𠣨|勹 夕 勹 夕
𢹽|扌 𥫗 旡 旡 曰
歿|歹 刀 又
𤁔|氵 鬼 斗
𨢁|酉 食
𩲃|鬼 勹 丶
𩳗|鬼 又 未
稈|禾 日 干
䚋|口 貝 目 儿
𤑺|火 冖 鼎
薍|艹 𤔔 乚
𥯙|𥫗 一 巛 工 力
𣩘|歹 𤰔 厶 寸
刘|文 刂
㺛|犭 馬 廾
鄚|艹 日 大 阝
𡬞|⺄ ⺄ ⺄ 寸
𧨱|言 广 氏 一
憥|𤇾 力 心
𩮰|镸 彡 囪 心
䨨|雨 辶 丿 㠯
𡚫|女 几
褪|衤 辶 艮
𣼳|氵 土 丷 干 丸
𨒉|辶 𠂔
紲|糹 世
妵|女 丶 王
𩃟|雨 日 斤
蒷|艹 口 貝
𢈸|广 人 一 乛 心
𠺻|口 糹 及
𧍞|虫 口 口 一 丂
𤿡|𠂊 厂 㔾 皮
啂|口 爫 子 乚
遄|辶 山 而
𡩈|宀 目 木
惏|忄 木 木
𧬌|言 口 口 口 山
𦘹|⺼ 山
䵒|黍 日
𢧕|𠂆 十 目 戈
衔|彳 一 一 亅 钅
𨞸|邑 白 匕 邑
籜|𥫗 扌 罒 土 丷 干
壟|龍 土
蟡|虫 爲
𤒺|火 㬥
𠇥|亻 丨 文
𦝦|⺼ HX隋
呬|口 囗 儿
鍮|金 人 一 月 刂
𤏩|口 貝 力 灬
𡵲|山 攵
𥦢|穴 牙 阝
揹|扌 北 ⺼
𩕦|大 目 目 頁
𨅙|𧾷 亠 丷 冖 口
䱼|魚 展
𢣿|忄 虍 田 心
譾|言 䒑 月 刂 羽
𩉁|面 單
𩨣|骨 方
羆|罒 厶 ⺼ 匕 匕 灬
𤡳|犭 東 攵
𨠖|酉 勹 巳
䔍|艹 馬
𢒌|亠 巾 彡
耏|而 彡
𠨓|𢎟 𢎟
琗|王 亠 人 人 十
垖|土 丿 㠯
𥦄|穴 己 攵
銘|金 夕 口
𥭮|𥫗 囗 儿 冂
㴝|禾 刂 人 水
氧|气 羊
侦|亻 卜 贝
誨|言 𠂉 母
𡔭|士 非
𧋳|工 ⺄ V扌 虫
𤌜|火 火 㐁
纰|纟 匕 匕
䐷|⺼ 單
𢞶|忄 彑 𧰨
茹|艹 女 口
𨐞|女 十 口 辛
𤍋|言 𠂉 乙 灬
𩁴|隹 隹 隹 勹 米
睁|目 𠂊 ZX爭
囀|口 車 𤰔 厶 寸
闂|門 V𢍏 㔾
㱇|嗇 欠
𤽶|白 尸 毛
潑|氵 癶 𠘧 又 弓
仐|人 十
跒|𧾷 一 亅 口
𩑑|丿 厶 頁
𡑗|土 亻 隺
𩙪|风 火 火
燚|火 火 火 火
𦛻|⺼ 木 寸
𥼤|米 其 斤
䝡|豸 㒼
𢛠|忄 乂 𠂇 厶 卩
艣|舟 虍 田 力
𩶚|魚 𣎵
癫|疒 十 Z具X 八 页
槪|木 白 匕 旡
铬|钅 夂 口
𨑼|辶 一 幺
㽱|疒 丩
𡻰|山 Z祭X 示
𦣒|⺼ 目 目 隹 又
湻|氵 Z亯X 日
䇺|𥫗 一 口 䒑
購|貝 𠀎 冉
隁|阝 匸 日 女
㐂|七 七 七
焄|尹 口 灬
嶇|山 匸 口 口 口
𧺀|赤 宀 釆 田
𦫶|艹 丩
躑|𧾷 丷 酉 大 阝
𠢕|士 方 攵 力
椔|木 巛 田
㖗|口 山 人 一 乛
犙|牜 厶 厶 厶 人 彡
𩤅|馬 尸 十 口
𨯶|金 宀 丰 罒 心
𧭛|言 言 言
騞|馬 丰 石
𤂱|氵 黍 𠚣
𪎣|麻 𠫓 V川
𠐢|亻 羽 白 二 儿
䄤|礻 束 𠂊 貝
𧌗|虫 耳 又
檩|木 亠 囗 口 示
𣡝|不 皿 幺 白 幺 木
𨖳|辶 氵 𣶒
𥧜|穴 一 自 夊
𣒄|木 止 匕 二
鮳|魚 耂 丂
㤴|忄 耳 乚
𠖷|冫 冂 口
昶|永 日
𤊹|火 孛 力
𤫇|𤣩 廿 北 口 灬
靀|雨 艹 冂 一 豕
𡅄|N高X 一 亅 單
𨽩|𨸏 F𨸏 𠀎 冉
幆|巾 曰 勹 𠃊 人
𣫉|士 冂 一 𠘧 又 木 乃
𨴍|門 厶 牛
柋|亻 弋 木
𧠶|𠂇 月 目 儿
𦝣|⺼ 宀 夂 口
轐|車 业 䒑 夫
𨃢|女 束 足
𠥔|匚 亻 隹
㙖|土 禹
𡋙|土 囗 口
獘|㡀 攵 犬
忛|忄 几 丶
𩆻|雨 口 口 口 囗 禾
𤗤|片 工 貝
胥|疋 ⺼
𦚐|月 宀 匕
歨|止 人 卜
㟫|山 白 水
瓭|冘 瓦
鱲|魚 巤
𪗷|齒 匕 日
𠙶|凵 了
䍸|羊 甫 寸
𢿻|米 舛 攵
𧐾|虫 立 口 阝
泽|氵 又 V扌
𧘷|衤 爪
嘁|口 丿 戈 卜 一 小
𨳪|門 一 巾
𧩨|言 亻 ュ 矢
㮈|木 大 示
蜋|虫 丶 艮
碊|石 戈 戈
𨖅|辶 V良 阝
𤸑|疒 复
𧬙|言 宀 一 口 田
𥪘|立 甘 匸 八
𧓅|虫 曲 辰
𡎘|土 艹 央
傚|亻 亠 父 攵
𣘛|木 H卬X コ 儿 白
𨖜|辶 雨 一 丂
𢘡|生 心
挣|扌 𠂊 ZX爭
𥌹|目 金 白 巾
膤|⺼ 雨 彐
𠮨|口 乃
䢪|辶 丿 大 口 冂 口
鐭|金 V宷 大
疬|疒 厂 力
嬳|女 卝 隹 又
𪚶|龜 勹 口
𥱵|𥫗 羽 白
𢂺|歺 又 巾
谽|谷 人 一 乛 口
涼|氵 Z亯X 小
𣍃|束 丷 申
灅|氵 田 田 田 土
黆|黃 冘
䗌|虫 日 生
𪅏|士 冖 几 𠘧 又 鳥
桕|木 臼
𣷜|水 水 攵
饟|飠 亠 口 口 𠀎 𧘇
竞|立 口 儿
𠍣|亻 扌 非
䁥|目 匸 艹 𠂇 口
𤡽|丷 酉 大 犬
𨞦|虍 豕 邑
𡗬|匕 匕 大
勮|虍 豕 力
㡵|广 人 一 マ
敷|甫 方 攵
菸|艹 方 人 ⺀
䫾|風 必
砀|石 𠃓
岃|山 丶 刀
𩹾|魚 糹 內
龅|齿 勹 巳
𦻻|艹 山 一 口 䒑 几
𣄆|方 人 衣
𡖉|夕 卩 丶
𤑣|火 一 内 一 内 一 内
𣲬|氵 手
怐|忄 勹 口
䒓|艹 丂
𪌒|麥 欠
螕|虫 丿 囗 乂 匕 匕
𩠯|首 女 𦣞
𡤖|女 匸 矢 𠘧 又 羽
玝|王 𠂉 十
𩈄|面 丶 刀
䠠|帶 足
𢲣|扌 立 ZX竜
謢|言 隹 又
𠄦|二 及
𨋝|車 工 力
𥴆|𥫗 土 丷 干 卩 又
宭|宀 尹 口
麯|麥 曲
𧦉|言 丐
𡒳|土 自 穴 方
𢭪|扌 十 口 儿
漺|氵 大 爻 爻
䎽|耳 氏 日
𪈼|鳥 鳥 鳥
蚿|虫 玄
𡡀|女 V𢍏 目
狇|犭 木
𧥠|九 言
坊|土 方
𢯍|扌 尸 巾 刂
詌|言 甘
𨘌|辶 礻 冎 口
𠁐|一 口 冂 亞
嫗|女 匸 口 口 口
鷙|土 丷 干 丸 鳥
𩻥|魚 彳 廴 聿
㽚|田 牛
𡏝|土 舛 木
𦶑|艹 冂 二 羽
𦦺|Z春X 臼 𢏚 口
湤|氵 方 𠂉 也
䋧|糹 尸 十 口
𩳶|世 木 鬼
藩|艹 氵 釆 田
𢝪|H段X 𠘧 又 心
燱|火 音 心
𤵳|疒 本
噴|口 十 廾 貝
襶|衤 十 戈 田 共
𠽺|臣 𡋑
𨨔|金 戶 ⺼
𨑱|辶 又 又
弅|八 刀 廾
㺄|犭 人 一 月 刂
鈇|金 夫
𨢭|酉 魚
𦫭|十 Z具X 八 色
𠠋|歺 又 貝 刂
𧔖|虫 士 罒 貝
𥧦|穴 忄 𠂒 口
涎|氵 廴 丿 止
䜕|言 艹 禺
𢚔|忄 八 厶 夊
𣥅|止 匕
𥲛|𥫗 糹 亻 寸
瘟|疒 囗 人 皿
喞|口 白 匕 卩
袠|衣 丿 夫
𢼥|犭 犭 攵
𠺤|屮 屮 斤 口
𤅰|氵 𥫗 龠
帯|丗 冖 巾
㶮|一 内 火
鄱|釆 田 阝
𨉲|身 高
𡜵|女 甫
𩋈|革 巛 丿 囗 乂
沸|氵 弗
𧤞|角 亠 丷 冖
𦓏|九 而
䘿|衤 尸 屮 凵
𢖾|忄 丨 几
𩩎|骨 氏 口
𥇊|目 日 匕 匕
畉|田 夫
哈|口 人 一 口
韊|革 艹 門 束 丷
𢹏|V𢍱 車 手
𠷎|𢏚 口
嵙|山 禾 斗
㳘|氵 𠫓 儿
遛|辶 V卯 田
𪈤|鳥 貝 貝 女
毢|毛 西
𧝤|衤 其 斤
䕩|艹 木 大 丷 日 小
𢓨|彳 囗 大
𦉓|缶 鳥
𨦩|金 亠 𠃊 女
瑳|王 V羊 工
𤗒|片 㫄
雴|雨 立
𦿌|艹 日 幺 幺 灬
𧃙|艹 H倝X 韋
𤠁|犭 首
𧈈|虍 儿 巛 果
钉|钅 一 亅
㘊|口 雨 言
𨱝|镸 攵
欌|木 艹 爿 戈 臣
侏|亻 丿 未
𦘿|⺼ 刀 又
𩭙|镸 彡 一 巛 工
𦕒|耳 卜 口
𦪂|舟 彳 走
頖|半 頁
𡸚|山 戈 戈
匜|匚 也
㞟|尸 丷 酉 大
梡|木 宀 二 儿
耦|耒 禺
馫|禾 日 禾 日 禾 日
𠘪|几 九
㬬|日 目 目 隹
𡾯|山 阝 爫 工 彐 心
簮|𥫗 夫 夫 曰
傱|亻 彳 HX從
𣮵|臾 毛
膻|⺼ 亠 囗 口 日 一
𢌼|氶 廾
搾|扌 穴 乍
㣁|弓 𤰇
𨽡|𨸏 F𨸏 㒸
緃|糹 HX從
𦚊|月 口 丂
𥐶|石 尢 丶
镈|钅 甫 寸
𨔶|辶 大 羊
𤩣|王 睂
䱎|魚 二 曰
𢃑|巾 日 曰
旓|方 人 ⺌ ⺼
𩉹|革 尸 匕
𩭺|镸 彡 一 口 田
鋝|金 爫 寸
㑞|亻 火 廾
楠|木 十 冂 丷 干
𤷣|疒 垂
𣆐|日 卜 尸
𪙪|厂 禾 禾 齒
𩔓|干 臼 頁
兰|丷 三
㗳|口 𥫗 人 一 口
𧊒|二 欠 虫
盵|目 𠂉 乙
𨳾|門 𠂇 口
𥼾|米 口 口 口 木
蹺|𧾷 土 土 土 一 儿
𠑾|𠂊 尸 儿
㦀|忄 辶 夂 丰
鴃|鳥 夬
窂|穴 牛
𦃓|糹 V卯 田
𥍵|矛 人 一 乛 心
𧑀|虫 巛 果
吉|士 口
𧵭|干 干 貝
𥳬|𥫗 黑
蔓|艹 曰 罒 又
抒|扌 マ 𠄐
㰙|木 HX漢 隹
𥏅|矢 日 十
焛|門 火
𡯮|乂 𠂇 厶 尢
鎜|舟 𠘧 又 金
䪢|𠂔 二 欠 韭
𢐩|弓 耳 丿 虫
𩗲|風 爫 ZX爭
阵|阝 车
瞴|目 Z無X 灬
𧡈|口 王 目 儿
𠰹|口 𠂉 也
䄻|禾 兆
𨓋|辶 𠫓 廾
𥃴|目 卂
𣠡|木 V⺼ 言 丿 糸
𡫂|宀 糹 口 ⺼
𥿄|糹 氏 一
𤟍|犭 日 勿
橍|木 門 王
𧴣|豸 口 口 厂 乛 耳 攵
賎|貝 㦮
𠋒|人 一 口 口 丂
䟔|𧾷 卜
魗|士 乛 工 一 口 寸 鬼
磖|石 羽 白
剝|彑 氺 刂
𩾤|卜 乙 鳥
𨧺|金 秉
𨠬|酉 老
𢿤|癶 一 口 䒑 攴
荧|Z荧X 火
惦|忄 广 卜 口
𦕽|耳 亻 申
㩭|扌 Z學X 子
罯|罒 音
釰|金 丶 刀
𡟴|女 辶 丿 㠯
䣶|酉 舌
𤯕|生 女
𢉽|广 木 十 口
𤤫|王 夕 卜
板|木 厂 又
𡮁|小 田 廾
瘈|疒 丰 刀 大
䪋|革 辶 中 一 貝
覍|小 目 儿
𢼎|乍 攴
𠎑|亻 艹 ZX華
帘|穴 巾
𣊛|Z曹X 日 日
鴚|鳥 一 亅 口
𦈞|纟 尸 口 辛
𥍚|目 糹 糸 言 攵
涥|氵 Z亯X 了
𩖇|目 羽 人 彡 頁
𪂧|Q鳥X 宀 夕 㔾
䘨|衤 亠 父
蔪|艹 車 斤
𨸙|阝 阝
焲|火 夜
喵|口 艹 田
袷|衤 人 一 口
𢸸|扌 一 口 䒑 頁
𠊻|亻 爫 𡥀
奂|𠂊 冂 大
㷅|耳 又 火
鱄|魚 𤰔 厶 寸
𨑠|辶 彳
𡙈|大 丷 干 卩 又
泏|氵 屮 凵
𪏑|白 巾 黃
䅒|禾 艹 亠 𠃊
𢗕|忄 勹 厶
葔|艹 亻 ュ 矢
𦨎|舟 乇
灜|氵 𦝠 貝
哟|口 纟 勹 丶
诡|讠 𠂊 厂 㔾
𤚑|牜 身 寸
𢥢|忄 言 堇
𠷥|口 N高X 一 亅
𩈽|面 又 又 又 又 女
塬|土 厂 白 小
㳯|氵 辛
齮|齒 大 一 亅 口
𨡨|酉 其
濹|氵 里 灬 土
𪋻|鹿 鹿 鹿 土
䁼|目 黑 土
蝾|虫 Z荧X 木
𡸃|山 人 一 Z兴X
𤭪|木 目 瓦
玆|玄 玄
𩎫|韋 几 木
䤍|酉 㒼
𢢌|⺌ 冂 口 攵 心
谏|讠 束 丷
𣙬|襾 木 工 コ
𠘓|冫 阝 夂 一 生
砗|石 车
宖|宀 弓 厶
麘|鹿 禾 日
𣄝|方 人 一 口 口 人 人
𧞛|衤 十 戈 隹
𤩾|𤣩 丣 田
性|忄 生
䎦|耒 火 火
蚨|虫 夫
𨃆|𧾷 ⺼ 瓜
𡤭|女 ⺌ 冂 口 黑
𩔜|宀 谷 頁
犰|犭 九
𧽲|走 田 糸
䠷|身 兆
輹|車 复
𠄽|二 扌 非
𩟞|飠 Z夢X 夕
𣩴|弓 口 虫 歹 匕
筁|𥫗 曲
嫀|女 Z春X 禾
駂|匕 十 馬
𤛷|牜 嗇
𣁇|文 一 止
𡏆|土 䒑 夫 丿 丨
𩼖|魚 亷
𥯌|𥫗 矢 口
捑|扌 日 夨
䋐|糹 戉
臒|⺼ 卝 隹 又
𡡗|女 𤔔
線|糹 白 水
𨤤|里 也
䭡|飠 爫 工 彐 心
𢫠|扌 弓 厶
蹣|𧾷 㒼
𦍺|羊 宀 子
𥈸|木 目 目
𨿽|厶 虫 隹
穫|禾 卝 隹 又
旪|日 十
飬|V𢍏 丶 艮
𦌍|冂 人 尸 示 寸
𤮠|瓦 艹 冂 一 豕
𤫿|入 一 朩 瓜
𧙕|衤 未
扻|扌 欠
𥤹|穴 爻
𪅽|旡 旡 曰 鳥
胼|⺼ 并
𤱌|田 且
骁|马 L戈X 一 儿
㠂|山 士 方 攵
𪎒|广 木 木 几 丶
約|糹 勹 丶
冇|𠂇 冂
𦣖|𦝠 日 日 日
芑|艹 己
𤱎|田 幺 力
𢀒|工 乚
𠒕|厶 儿 𠂢
攔|扌 門 束 丷
㦗|忄 木 木 示
纙|糹 罒 糹 隹
𥕶|石 其 斤
𤲙|厶 大 巛 田
阞|阝 力
𩚱|飠 冂 口
𠠢|雨 口 口 口 刀
䴤|鹿 生
𢆧|土 丷 干 木 攵
𧜰|衤 亠 口 口 夊
暩|日 Z祭X 示
𥎳|矢 母
𨍝|車 革
鞳|革 艹 人 一 口
𣐲|木 口 丩
㔴|匚 田 共
𠦷|卜 日 十 厶 廾
樶|木 冂 二 耳 又
亹|亠 V興 且
𦓞|山 而 甫
𦐋|夬 羽
魀|鬼 人 丿 丨
𩚘|飠 勹 厶
剆|V良 刂
㛉|女 西
𦯋|艹 工 ⺄ V扌
荐|艹 𠂇 丨 子
𠕔|冂 一 ⺼
㩖|扌 三 田 田
𡻙|山 Z亯X 子 阝
罘|罒 不
叛|半 厂 又
賥|貝 亠 人 人 十
𩍧|革 耳 又 亻 亻 人
𢉦|广 冖 車
𠛩|糹 刂
杨|木 𠃓
㯫|木 虍 豕
磭|石 辰 ⺼
𦠓|厂 禾 禾 ⺼
遲|辶 V尾 牛
𤖩|片 女
佸|亻 V𠯑
惽|忄 民 日
𦔛|耒 立 里
𤪔|𤣩 𥫗 宀 㠯
威|丿 戈 一 女
𤠊|宀 二 曰 犬
㞈|尢 戶 𠕁
謋|言 舛 木
璊|王 㒼
𠴏|口 艹 亠 𠃊
䈑|𥫗 冎 口
𦽯|艹 木 亟
𡾘|山 Z亯X 囗 口 口 十
岚|山 风
𩰛|鬥 鼓
𢨡|禾 虫 虫 戈
漣|氵 辶 車
趤|走 宀 石
𨇰|𧾷 㡭 斤
𠞨|羽 人 小 刂
䒪|艹 厶 廾
頭|一 口 䒑 頁
禬|礻 人 一 囗 小 曰
𧺜|走 女
圳|土 川
𥍈|目 目 艹 禺
耽|耳 冘
憼|卝 勹 口 攵 心
㽃|釆 田 瓦
籅|𥫗 V𢍱 与
𧭷|言 魚 日
鋆|土 勹 二 金
𦳍|艹 ⺼ 瓜
𡓊|土 广 癶 𠘧 又 弓
䧌|阝 爫 女
𢝓|忄 白 水
摕|扌 帶
𧿼|𧾷 瓜
𣇜|日 貝
镟|钅 方 人 疋
盞|戈 戈 皿
䱥|制 魚
𤝐|犭 口 丂
𩛟|飠 免
廮|广 貝 貝 女
䆴|穴 亀
㑵|亻 疒 矢
𧝿|衤 三 田 田
楷|木 匕 匕 白
迸|辶 并
𥓾|石 干 臼
𠇼|亻 乎
䛾|言 Z青X 糸
簀|𥫗 Z青X 貝
境|土 音 儿
鮅|魚 必
㔆|旡 旡 曰 刂
𧜭|衤 尸 禹
𤺃|疒 白 大 十
𩚬|飠 戶 乙
搐|扌 玄 田
䂓|矢 目 儿
莕|艹 木 口
𨶅|門 𦍌 灬
𦽎|艹 礻 彑 氺
瞝|目 亠 凵 乂 禸
𩟛|飠 艹 甫 寸
䰠|鬼 申
𢢣|角 刀 牛 心
輢|車 大 一 亅 口
𠔦|口 力 丘 八
𥓝|石 東
徭|彳 V⺼ 缶
骯|骨 亠 几
𣕜|木 䒑 幺 幺
㐰|亻 口
𡂳|口 石 石 石
𥼬|米 米 米
𦘈|耳 幺 白 幺 木
𧬵|言 穴 亠 人 人 十
欺|其 欠
䞽|走 十 冖 糸
𥪋|立 彑 氺
芿|艹 亻 乃
𩪴|骨 𦍌 食
𡱀|Z亯X 尸
𤧟|𤣩 N高X 一 亅
盇|大 丶 皿
𩦍|立 里 馬
𥍊|卝 隹 口 口 目
𢿍|未 攵 厂 攴
蹌|𧾷 倉
𠑐|倉 倉
廗|广 帶
駙|馬 亻 寸
𣭚|毛 勹 巳
𡟝|女 㒸
橤|心 心 心 木
𤛧|牜 彐 工 口 寸
𧈐|口 虍 儿 飠
臩|臦 大 丿 丨
痱|疒 非
剴|山 一 口 䒑 刂
𢻷|巴 攴
赶|走 干
𠭺|又 又 匕 匕 必
𦁪|糹 土 八 土
嬅|女 艹 ZX華
㪄|弗 攵
阇|门 耂 日
㓀|冖 卜
𠰋|口 丘
榎|木 一 自 夊
𪒐|黑 爫 目 儿
䌕|糹 麻
𧧯|言 光
𣿖|氵 襾 示 刂
𤸙|疒 大 丶 皿
𩍅|革 立 里
爟|火 卝 隹 口 口
冞|冖 米
負|𠂊 貝
𨴚|干 干 門
𢬥|扌 氵 工
𥹇|米 厶 廾
𦆝|糹 襾 示 寸
𧷆|貝 方 𠂉 也
娯|女 口 V夨
锱|钅 巛 田
𥑲|石 日 一
𣣈|人 一 乛 心 欠
梸|木 禾 刂
䈿|𥫗 冖 日 亠 八
𦷷|艹 辶 亥
煉|火 束 丷
僈|亻 曰 罒 又
鏊|士 方 攵 金
𢩏|戶 𦈢
𪛌|龠 虍 儿
𩤢|馬 亠 丷 冖
𨭸|金 鼓
奙|厶 大 电
㣘|彳 勹 口
鑛|金 广 黃
𦇎|糹 艹 囪 心
𨵟|門 月 卩 又
濢|氵 羽 亠 人 人 十
𤅩|氵 HX漢 鳥
灳|勹 火
埲|土 Z春X V扌
鋴|金 十 口 儿
𥘨|礻 勿
𢥹|音 十 工 貝 心
𠣸|勹 亠 口 口 夊
𩸁|魚 㡀
𩔪|巛 邑 頁
𧙗|衤 𠂇 口
𤗺|片 尸 口 辛
邉|辶 自 穴 口
𤦭|𤣩 青
𣈊|牜 攵 日
漌|氵 堇
䮏|馬 五 口
𨲯|镸 丷 囗 小 曰
鰖|魚 HX隋
𩡛|尸 示 寸 禾 日
𡨚|宀 免
圜|囗 罒 一 口 𧘇
𣎟|月 彐 工 口 寸
𧦄|言 氏
没|氵 𠘧 又
㖉|口 人 止
萦|Z荧X 糸
𣞄|末 人 一 囗 小 曰
鶫|束 丷 鳥
𠈪|亻 䒑 一 大
㼬|土 丷 干 瓦
𡮯|小 丿 辶 𠂒 口
砮|女 又 石
咱|口 自
𩈉|面 冘
𧩟|言 八 厶 心
𤖵|片 勹 口
薻|艹 氵 巛 果
𢜼|忄 乗
𠎿|亻 角 刀 牛
怾|忄 口 八
㳁|氵 厂 人
秃|禾 几
𩢷|馬 一 白
𤓠|火 鹵 𣆪
𨖌|辶 𦍌 永
酈|丽 鹿 阝
𩑋|一 自 儿
𠽌|口 雨 彐
䡎|車 戶
𢓑|彳 欠
懓|忄 爫 冖 心 夊
𨠺|酉 Z亯X 子
𩹇|魚 N高X 一 亅
雝|巛 邑 隹
𣁞|土 八 土 丸 文
𠳡|口 串
浠|氵 乂 𠂇 巾
䧣|阝 襾 示
𦹧|艹 艮 皿
𥆽|目 口 人 一 乛
𨷦|門 厂 禾 禾 止
啰|口 罒 夕
𣇳|日 其
𪒒|黑 庸
狵|犭 尢 丶 彡
𩒿|尢 丶 彡 頁
𤣨|玄 曰 勹 𠃊 人
詺|言 夕 口
𪏿|黍 丿 未
㶀|氵 ⺼ 羽 人 彡
餃|飠 亠 父
纂|𥫗 目 廾 糸
𣴗|氵 攵 巾
𡜇|女 一 廾 刂
𥀉|𠚏 皮
𨔣|辶 木 力 口
𢖐|彳 鹿 灬
脓|⺼ 农
暒|日 日 生
𩉯|革 二 儿
㠙|山 N高X 豕
甛|甘 舌
鞜|革 水 日
𨱄|钅 屮 凵
𠶠|口 氵 厶 口
亢|亠 几
𦃇|糹 𠂆 虍 儿
𧳰|豸 冖 車
𢀩|𠂹 𠂇 工
𧐝|虫 一 口 䒑 斗
崫|山 尸 屮 凵
𥖜|石 木 木 示
㚲|女 卜 口
鈵|金 一 内
玴|王 世
𠠹|冘 力
𠙜|土 丷 干 几 丶
䔻|艹 Z亯X 子 攵
𪂾|飠 鳥
𢔲|彳 丣 田
𤕊|爪 V興 且
寄|宀 大 一 亅 口
𣧍|歹 內
𢵋|扌 耂 日 阝
湍|氵 山 而
裎|衤 口 王
𤅹|氵 罒 大 罒 大 罒 大
𠛒|瓜 刂
䏔|⺼ 丑
齗|齒 斤
糖|米 广 肀 口
𦠥|⺼ 門 月
𡕛|夂 廿 火
噝|口 糹 糸
𤦤|王 臼 儿
𢯤|扌 目 卬
蝧|虫 艹 央
擦|扌 宀 Z祭X 示
㹭|犭 曳
𤒘|火 𥫗 臼 勹 灬
筯|𥫗 且 力
闰|门 王
𡏴|束 攵 土
䳶|鳥 爫 幺 大
𩽾|鱼 宀 女
𢙽|𠂉 母 心
𧫧|言 人 一 乛 酉
捿|扌 Z妻X 女
𩑔|𠂉 乙 頁
𦙣|⺼ 木
𨂪|𧾷 文 厂 彡
𩲝|鬼 八 刀
𩔀|㒸 頁
爈|火 虍 田 心
𤺋|疒 車 人 彡
趍|走 夕 夕
𢬎|扌 二 曰
𨿙|尢 丶 彡 隹
𥘂|石 糹 糸 言 攵
娘|女 丶 艮
㚛|大 匕 日
餚|飠 乂 𠂇 ⺼
𣯾|毛 人 一 口 羽
榥|木 日 光
𣾇|氵 丷 酉 大
𣞰|束 丷 又 又 又 木
𤈨|耳 乚 火
𡺫|山 爫 臼
脪|⺼ 乂 𠂇 巾
𥞝|禾 凵 乂 儿
𦁜|糹 廿 木
𧔲|冖 日 亠 八 虫 虫
况|冫 口 儿
𤓟|Z學X 火 火 火
買|罒 貝
𩤈|馬 卄 一 日
𥱪|𥫗 骨
𢨸|戶 丶 王
𠚻|与 刂
𤪲|𤣩 厂 艹 禺
𩊄|由 革
𩯡|镸 彡 鼠
嵂|山 彳 聿
㧅|扌 刀
顄|函 頁
𡉈|扌 土
𦺶|艹 V㓹
棏|木 日 一 寸
䕒|艹 十 一 口 䒑 力 口
𢇕|山 幺 幺 山 幺 幺
联|耳 䒑 一 大
𤽮|白 辛
瑜|王 人 一 月 刂
僟|亻 丿 戈 一 幺 幺
迡|辶 尸 匕
𢵢|扌 門 文
𥃧|目 丩
𨴐|門 𠂒 儿
屬|V尾 罒 勹 虫
㣯|彳 尸 ⺌ ⺼
魮|魚 匕 匕
𦾨|艹 阝 辛 女
𤮊|广 隶 瓦
毹|人 一 月 刂 毛
𦪕|舟 大 丷 日 小
𦊾|罒 不 口
䑼|舟 勹 屮 勹 屮
𢃿|巾 束 丷
荾|艹 厶 儿 夊
𡨃|宀 求
𣕪|木 又 土 木
瞆|目 中 一 贝
䴍|貝 貝 鳥
𢲌|扌 身 寸
蠏|虫 角 刀 牛
𤡬|犭 士 冖 一 口 䒑
𠈓|亻 両
簗|𥫗 氵 丶 刀 丶 木
徖|彳 宀 示
骘|阝 止 𣥂 马
㔝|兩 力
𩧄|馬 斤 斤 貝
𩥚|馬 Z春X 禾
𧕇|虫 魚 羊
搧|扌 戶 羽
䞦|走 夂 口
𪌩|麥 舌
芨|艹 及
𧏼|丶 王 虫 虫
𡴭|山 乙
皰|皮 勹 巳
𦟏|⺼ 广 車
䰷|魚 丰
謹|言 堇
𧶛|貝 木 人 人
𩇴|非 八 刀
𠔽|冂 冂
𤵩|疒 亻 也
𤑴|火 Z亯X 日 羊
罁|缶 冂 䒑 山
廀|广 宀 火 又
鷂|V⺼ 缶 鳥
𣣷|屮 一 虫 欠
㑇|亻 𠂊 彐
𩭶|镸 彡 氵 由
村|木 寸
䛐|𠃌 一 口 言
𦖡|耳 白 勹 丶
藒|艹 禾 曰 勹 𠃊 人
𦥏|至 至 至
𦜅|月 丰 阝
𨊥|車 凵
秚|禾 半
佡|亻 人 山
𢻠|戶 隹 支
詣|言 匕 日
𤾧|白 业 䒑 未
𠑧|亻 卝 隹 口 口 力
繫|車 凵 𠘧 又 糸
懪|忄 日 共 氺
鳬|Q鳥X 几
𥁼|氵 氏 一 皿
㝱|P㝱X 夕
𡛰|女 口 八
𧲪|豸 亠 几
𣓿|木 Z荧X 力
晻|日 大 电
䧺|𠂇 口 隹
蓼|艹 羽 人 彡
麁|𠂊 鹿
𤀶|氵 虍 隹
𨬕|金 十 口 土 丷 干
㰂|木 宀 釆 田
𨵝|門 水 日
礄|石 丿 大 口 冂 口
喇|口 束 刂
𨱚|镸 𠘧 又
𥜬|礻 爾 玉
蚑|虫 支
𢐒|弓 山 月 月
𠂕|丿 夫
愔|忄 音
㶗|𠂉 母 丿 糸 白 水
